WRN 2026-08-30T05:42:31.056 ui.432566  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:42:31.056 ui.432566  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:42:31.057 ui.432566  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:42:31.057 ui.432566  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:42:31.057 ui.432566  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:44:17.448 ui.436526  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:44:17.448 ui.436526  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:44:17.448 ui.436526  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:44:17.448 ui.436526  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:44:17.448 ui.436526  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:45:04.589 ui.438078  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:45:04.589 ui.438078  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:45:04.589 ui.438078  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:45:04.589 ui.438078  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:45:04.589 ui.438078  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:45:49.483 ui.439880  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:45:49.483 ui.439880  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:45:49.483 ui.439880  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:45:49.484 ui.439880  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:45:49.484 ui.439880  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:46:21.122 ui.441692  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:46:21.122 ui.441692  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
